date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
18147,1781895130.673798,1209594029.2802172,34611335.42740482,-10234579.05165201,381912126.95701253,-925679292.1945912,0.0,2472098751.09219,3285656076.190152,-813557325.0979624,0.26295522375656893
18148,550469994.197601,1915975508.002269,13622002.180704284,4217310.898827839,70601600.02470553,-1427571072.6266325,0.0,1127315342.6774752,1027214119.6882925,100101222.98918271,0.416516414783102
18149,-530457304.0393071,405332716.91571796,9716555.937584525,-16040932.456181504,60734055.56886594,-459081772.1762392,0.0,-529796680.2495594,-959077120.95222,429280440.70266056,0.08811580802515608
18150,1781895130.673798,180991788.93080512,15299327.216298103,17824762.13285362,150076762.87919533,-17447409.337621603,0.0,2128640362.4953284,3285656076.190152,-1157015713.6948237,0.03934604107191415
18151,-848706345.0379603,1569417826.5132713,-943557.3290684988,-11646936.309194589,-292497813.08784413,-822482492.7465448,0.0,-406859317.99734104,-1499035388.4516659,1092176070.4543247,0.3411777883724503
18152,1781895130.673798,45886966.431726694,20341144.041052286,-12245683.366673714,-81112058.70881729,-194644985.42279893,0.0,1560120513.6482873,3285656076.190152,-1725535562.5418649,0.009975427485157977
18153,603967211.6990374,-517381956.41622514,-12316786.651391052,-6327088.393981982,-90731513.37348993,171537700.57652807,0.0,148747567.4404774,1044820148.8935804,-896072581.4531031,-0.11247433835135329
18154,-1718601436.8496776,-9470546.558720797,-1514291.9482884349,-21209049.03476424,-119876968.4813732,-83296610.05477679,0.0,-1953968902.9276013,-3426833971.22495,1472865068.2973485,-0.00205881446928713
18155,-1142319820.1224442,-1736230081.4548995,-9891440.543696254,-745522.0551284633,55339460.38243595,1373864603.880595,0.0,-1459982799.9131382,-2094229502.8959856,634246702.9828475,-0.3774413220554129
18156,1781895130.673798,1033236385.2748288,6202575.09301648,-18072266.671035796,267454802.56202298,-718734791.0665679,0.0,2351981835.866063,3285656076.190152,-933674240.324089,0.224616605494528
18157,-1749645247.1352916,978489265.5566927,8897888.189858079,-1344424.5829329286,-157579902.65526146,-720990781.401709,0.0,-1642173202.028644,-3544738042.786717,1902564840.7580729,0.2127150577297158
18158,426351465.6170204,-214999907.08452284,16172573.651850667,-679143.7268903488,76489202.01302953,112013866.05549577,0.0,415348056.5259832,891747797.5534763,-476399741.0274931,-0.04673911023576584
18159,1185653433.3005993,-1753064668.566479,-29244674.409360114,6996255.450941531,49921308.47847548,1419419813.0028176,0.0,879681467.2569948,2062300740.446948,-1182619273.1899533,-0.3811010149057563
18160,-556690836.7267088,-260191646.2794801,-12160389.477864392,-13021462.796044208,-46903607.24344247,466567265.64332604,0.0,-422400676.88021386,-975229531.5720539,552828854.69184,-0.05656340136510437
18161,661564512.1723295,1240944676.6606686,27388680.888563186,-27920268.51473163,81069621.82365897,-1017503120.7888927,0.0,965544102.241596,1153794381.4421253,-188250279.20052934,0.26977058188275405
18162,-1763527563.5074558,1415381017.3130236,19894875.217340775,-22009712.82400018,-373419371.4453503,-1214163864.0140507,0.0,-1937844619.2604928,-3576753269.3836913,1638908650.1231985,0.3076915255028312
18163,-752523115.1598891,42003367.09876501,-11772333.590210535,-12098822.325780936,-38477668.95601598,-108279360.46583802,0.0,-881147933.3989697,-1394665003.45397,513517070.0550003,0.009131166760601089
18164,-431311932.41366243,288995305.6239148,4956522.285459235,360710.1599909412,153871099.61746714,148704978.7300881,0.0,165576684.00325775,-860258654.9436073,1025835338.9468651,0.06282506643998147
18165,562263580.930096,1103402164.8284414,14106218.774446925,-19618763.102869205,44846304.22500001,-960680738.6360729,0.0,744318767.019042,1241683787.1977367,-497365020.1786947,0.23987003583226987
18166,-1703366439.7768004,-26481573.43658398,-7016745.229590043,-14781762.53629928,-83011866.87760924,350753334.5040413,0.0,-1483905053.3528414,-3323789729.0066347,1839884675.6537933,-0.005756863790561735
18167,1369368331.896989,-124404586.66400743,-3132849.8290277696,-110128.86681704555,284378898.0689304,4277281.549236497,0.0,1530376946.155304,2406689612.0516367,-876312665.8963327,-0.027044475361740743
18168,-152078006.96519637,-305817497.851586,-8822656.305605834,-11451778.433806995,54691452.62664607,169021327.50022748,0.0,-254457159.42932162,-114872478.55357456,-139584680.87574705,-0.06648206475034478
18169,-1093897686.520419,1264281876.6987398,32028522.849071063,-4328866.0167410765,-363304966.29878247,-998693621.0303242,0.0,-1163914740.3184557,-2033361228.2007046,869446487.8822489,0.27484388623885647
18170,1781895130.673798,537392690.7286125,17261785.773631528,-15872810.130719017,44846304.22500001,-303296395.50751257,0.0,2062226705.7628102,3285656076.190152,-1223429370.427342,0.11682449798448098
18171,-1712987122.0635815,204971231.95928767,14825772.623985276,-18409758.050369974,-133875897.01730923,-534216482.27378154,0.0,-2179692254.821769,-3396439695.9009075,1216747441.0791383,0.044558963469410365
18172,-902387800.2190148,2283157429.527929,48624423.00784311,-32390693.404913414,231527911.72248623,-1669067598.7972035,0.0,-40536328.16287351,-1603257200.185748,1562720872.0228746,0.49633857163650624
18173,1781895130.673798,789464280.1719879,15951203.990395736,-16948084.693596967,236392540.6817631,-571876737.3268261,0.0,2234878333.497522,3285656076.190152,-1050777742.6926303,0.17162266960260605
