date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,asset_pnl,liability_pnl,surplus_pnl
2020-10-02,711231776.4249971,651242304.7097234,3790191.3689463083,-19529176.36607877,44016900.000000015,-222747026.2138914,1168004969.9236965,939436004.1185398,228568965.8051567
2020-10-09,1805.9923360794453,819054814.7982082,4856193.82959339,-20163616.276074708,67889972.10000004,-283293030.42678404,588346140.017279,2903.564076423645,588343236.4532026
2020-10-16,2975.1343496038166,791855851.7007152,4144729.1359883794,-18519736.494549416,68773467.45000003,-256540395.75817072,589716891.168333,4255.41762638092,589712635.7507067
2020-10-23,3246.347354864873,688597013.0172734,4299338.919396522,-17940990.55784383,68912966.05500005,-215011584.74862078,528859989.03256035,5166.22469997406,528854822.8078604
2020-10-30,1189680280.024387,314695952.79873323,2450395.0742464243,-16632173.63086961,115696618.38000005,-41729608.759939544,1564161463.8865576,2057311548.7675676,-493150084.88101006
2020-11-06,4970.009773666966,657990642.0174894,5635330.189561294,-20007472.334057204,87047964.05550003,-203984432.50485915,526687001.43340796,8265.579307556152,526678735.8541004
2020-11-13,3117.58767643551,783876131.3965281,7390226.805646391,-18186972.469576966,69098964.66000004,-248347205.18661252,593834262.7936616,5154.599862098694,593829108.1937995
2020-11-20,3169.22880053967,867357798.4157962,9179780.529564772,-17462943.88389871,69284970.68175004,-269185844.52194273,659176930.45007,5082.975273132324,659171847.4747969
2020-11-27,3167.6315695306403,973796759.3465258,9249458.192733873,-13239656.750626683,70168468.89150004,-310234004.8685561,729744192.4431465,4974.452381134033,729739217.9907653
2020-12-04,3440.7255347924443,1058826494.7535472,10048736.198416019,-15827802.15123694,90493589.08500007,-343809631.6392252,799734826.9720359,5745.385902404785,799729081.5861335
2020-12-11,3127.1723736637728,979172174.7318,8565695.017687274,-14772261.787887514,69996414.66000003,-299590038.4958606,743375111.2981129,5070.488861083984,743370040.8092518
2020-12-18,3967.493582096605,1037951697.7634441,8472915.920806145,-16402505.544416193,70819474.42500004,-309714579.95548725,791130970.1029289,5954.321271896362,791125015.781657
2020-12-25,4005.9104843909167,1031838103.6968132,8289342.611360649,-14596673.42048621,70396322.37900005,-286291597.95340204,809639503.2237701,6127.969429969788,809633375.2543402
2021-01-01,4529.319337471593,1069043850.1903458,8595361.169880714,-13645457.008706883,71144971.17000005,-318187819.4928746,816955435.3479824,6861.6312084198,816948573.716774
2021-01-08,-3403.0472418926647,1242851880.7790234,8940667.42542337,-10234525.921620067,-1.9994999957809592,-363425189.8957778,878129427.3403069,-4989.585399627686,878134416.9257065
2021-01-15,3400.7231967377365,1067136557.005371,8473655.258200454,-9969003.58293883,70317270.70500004,-284987435.3656152,850974444.7432144,4812.225241661072,850969632.5179727
2021-01-22,2608.357482932279,1339713723.9947107,9292730.507034844,-11653647.447622078,68633974.89000003,-346011580.9644666,1059977809.3371398,4400.5347146987915,1059973408.8024251
2021-01-29,1474.7300017816817,1255525641.9215698,9421493.21999836,-12016906.43341721,62472728.14500004,-313499344.6920043,1001905086.8911482,2531.53279876709,1001902555.3583494
2021-02-05,-2772.810770478827,1369411052.837793,9999331.638799801,-10881837.449659888,-1.0229999928752387,-352639567.52261245,1015886205.6705502,-4745.608345031738,1015890951.2788953
2021-02-12,260.4986691314123,1378885188.8944542,9419927.173429003,-10655519.895330925,65239385.28450005,-366554932.2190051,1076334309.7367165,242.76175498962402,1076334066.9749615
2021-02-19,-1196.7347139407307,1504195380.8853176,9439549.629590228,-5486630.869388027,62449475.331750035,-386399617.11336726,1184196961.1291883,-2096.5308780670166,1184199057.6600664
2021-02-26,-1914.6384297422844,2054110712.660384,14338270.871790564,-9895718.582508022,394.32000000645286,-629258051.8607075,1429293692.7705293,-3304.8687353134155,1429296997.6392646
2021-03-05,-2938.933390113997,1955831673.5733876,15916083.614678863,-3792320.7894592173,7.626000006452651,-619888893.5415865,1348063611.5496306,-4915.603511810303,1348068527.1531425
2021-03-12,-1644.4810898843537,3131992808.441866,33574481.42326191,-11028204.050841346,-38.432249993547366,-1131359346.102336,2023178056.7986107,-2775.0447092056274,2023180831.84332
2021-03-19,-2294.1060964681315,4170919140.2056174,58148400.34866377,-11224774.71165094,23.34300000645267,-1595430482.0284214,2622410013.0511127,-3531.2885875701904,2622413544.3397
2021-03-26,-1784.3447212335093,3368015644.6349587,48282289.899311006,-2517682.13032947,8.370000006452662,-1243281686.9804127,2170496789.448806,-2929.108332633972,2170499718.5571384
2021-04-02,-254.8358700834701,3738012455.079606,49233504.68636147,-2544393.8785837563,249.33300000645278,-1378594261.7876477,2406107298.5968657,219.71736335754395,2406107078.8795023
2021-04-09,-882.735941242754,2979647723.8264904,38891792.50285621,3126053.942906268,3.603750006452639,-1094201707.9453943,1927462983.1946676,-916.9588537216187,1927463900.1535213
2021-04-16,-3005.5398340523257,2901185903.829969,34218208.36408125,-1961822.7561074006,6.277500006452643,-1066875504.9541281,1866563785.2214808,-4958.477411270142,1866568743.698892
2021-04-23,-2999.5096313770914,2980891230.7978144,36932129.283003174,559737.1831003469,3.4410000064526405,-1109077553.895303,1909302547.2999837,-4928.615396499634,1909307475.9153802
2021-04-30,-3963.0450444977705,2892801732.498273,35734529.21361858,-2365445.138269611,-4.719749993547363,-1071499259.274037,1854667589.534791,-6132.521806716919,1854673722.0565977
2021-05-07,-2140.0002884461665,2698273903.832776,35902477.31699425,-4304465.508546474,-0.6044999935473611,-1023476519.1159556,1706393255.92048,-3518.510703086853,1706396774.431183
