date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl
2022-11-25,-1381022102.6078327,-675962043.0702249,-18183197.95045867,-12748147.214193098,-96547873.92600004,188720170.62688732,-853169052.5542421,-2848912246.6960645,-2553447347.907265,-295464898.7887993
2022-12-02,-1253.168448662029,-540033835.930078,-17786705.09093716,-14243172.733230181,130250928.10200004,158015642.617385,-7677111.8916844735,-291475508.09499353,-2228.4113931655884,-291473279.68360037
2022-12-09,-1353506335.543995,-792785531.7126977,-19155460.74849908,-14278484.839887591,-81691169.62155005,227413071.70682544,-816299300.5477674,-2850303211.3075714,-2497529186.977275,-352774024.3302965
2022-12-16,-1402828946.3955133,-810506069.9567627,-19857554.290798895,-13636903.7759057,-78915007.91925006,234592308.30480173,-878336743.9944147,-2969488918.027843,-2599256289.672936,-370232628.35490704
2022-12-23,-1498855149.492091,-914894106.2089552,-21137493.91517908,-12935910.376398183,-72818838.69150007,258911642.26577407,-945810015.4903665,-3207539871.9087157,-2812773075.0009384,-394766796.9077773
2022-12-30,-1544146033.7755065,-955873441.6160808,-22315233.588673428,-13176088.494179625,-75415851.76425004,268610063.3406865,-982178906.6481904,-3324495492.5461946,-2921739949.5899196,-402755542.956275
2023-01-06,-453166898.7813503,-805119608.2481523,-18613477.62472433,-15252493.54121602,82037281.78350002,229213920.20242077,-268353139.54390544,-1249254415.753428,-808079822.0520315,-441174593.70139647
2023-01-13,-1409462343.1785996,-664517595.0256764,-15887398.523824546,-15942023.683244955,-200770472.50500014,190226653.89269853,-863324759.9015218,-2979677938.925169,-2613161318.3553815,-366516620.5697875
2023-01-20,-1416760161.633437,-445788354.91213906,-14824369.748669554,-15668326.519413453,-200165950.06875014,136718125.02066013,-868235957.791249,-2824724995.652998,-2632037805.792102,-192687189.8608961
2023-01-27,-1453957972.5970697,-299127875.0487213,-12238440.218694767,-17723896.665944003,-198752285.08500013,100914018.02616958,-894431113.265601,-2775317564.8548613,-2714480992.4520407,-60836572.40282059
2023-02-03,-1596682159.5275376,-290060805.0772891,-8477119.818545878,-11839225.267918965,-152815275.0000001,108508228.10031833,-1019383335.8390118,-2970749692.429985,-3058115964.021936,87366271.5919509
2023-02-10,-427284435.3341706,-359379785.2446894,-8987228.378656644,-9979806.890483897,39648225.00000001,115910410.04481417,-192419209.85076854,-842491830.653955,-760045933.9652967,-82445896.68865824
