t_years,mv_total,contribution,pnl_half_year,loss_carry_forward,payout_policyholder,payout_policyholder_cum,retained_insurer,retained_insurer_cum,mv[DAX Index],mv[NASDAQ],mv[Bloomberg Asian Pacific Agg Ind],mv[MSCI World Index],mv[MSCI Europe Index],mv[Russell 2000 Index],mv[Dow Jones],mv[Bloomberg Commodity Index Gold],mv[MVIS Global Rare Earth],mv[MSCI World Health Care Index],mv[iShares MSCI Hong Kong ETF],mv[US Corporate High Yield index],mv[Bloomberg Pan-European High Yie],mv[Bloomberg Euro Treasury Bond In]
5.5,2824804990.525368,250000000.0,137107079.67598867,0.0,123396371.70838983,673244914.7282889,13710707.96759884,74804990.52536538,56496099.81050732,564960998.1050726,28248049.905254222,564960998.1050732,56496099.81050732,494340873.34193933,564960998.1050729,56496099.810507424,211860374.28940243,56496099.81050732,28248049.905253995,56496099.81050833,56496099.81050772,28248049.90525394
6.0,3089927462.4133735,250000000.0,151224718.88004637,0.0,136102246.9920417,809347161.7203306,15122471.88800466,89927462.41337004,61798549.24826742,617985492.4826735,30899274.624134324,617985492.4826742,61798549.24826742,540737305.9223403,617985492.4826739,61798549.24826754,231744559.6810028,61798549.24826742,30899274.62413408,61798549.24826853,61798549.24826786,30899274.624134015
6.5,3356469256.0391455,250000000.0,165417936.25771427,0.0,148876142.6319428,958223304.3522735,16541793.625771463,106469256.0391415,67129385.12078285,671293851.2078278,33564692.5603921,671293851.2078285,67129385.12078285,587382119.8068503,671293851.2078282,67129385.12078299,251735194.20293567,67129385.12078285,33564692.56039183,67129385.12078406,67129385.12078333,33564692.56039176
7.0,3624437969.6804957,250000000.0,179687136.41348934,0.0,161718422.77214044,1119941727.124414,17968713.6413489,124437969.6804904,72488759.39360985,724887593.9360977,36244379.69680565,724887593.9360985,72488759.39360985,634276644.6940866,724887593.9360981,72488759.39360999,271832847.7260369,72488759.39360985,36244379.69680536,72488759.39361115,72488759.39361036,36244379.69680528
7.5,3893841242.292287,250000000.0,194032726.1179042,0.0,174629453.50611374,1294571180.6305277,19403272.61179045,143841242.29228085,77876824.84584568,778768248.458456,38938412.42292362,778768248.4584569,77876824.84584568,681422217.4011501,778768248.4584564,77876824.84584583,292038093.1719213,77876824.84584568,38938412.42292331,77876824.84584709,77876824.84584624,38938412.42292323
8.0,4164686753.7241983,250000000.0,208455114.31911945,0.0,187609602.8872075,1482180783.5177352,20845511.431911945,164686753.7241928,83293735.07448392,832937350.7448382,41646867.537242785,832937350.7448392,83293735.07448392,728820181.9017347,832937350.7448387,83293735.07448407,312351506.52931464,83293735.07448392,41646867.53724246,83293735.0744854,83293735.0744845,41646867.53724237
8.5,4436982224.939658,250000000.0,222954712.1545763,0.0,200659240.9391187,1682840024.4568539,22295471.21545759,186982224.9396504,88739644.49879308,887396444.9879299,44369822.24939743,887396444.9879309,88739644.49879308,776471889.36444,887396444.9879304,88739644.49879326,332773666.87047404,88739644.49879308,44369822.24939708,88739644.49879469,88739644.49879372,44369822.24939698
9.0,4710735418.235932,250000000.0,237531932.96273136,0.0,213778739.66645816,1896618764.123312,23753193.2962732,210735418.2359236,94214708.36471859,942147083.6471848,47107354.18236023,942147083.6471859,94214708.36471859,824378698.1912881,942147083.6471853,94214708.36471877,353305156.3676947,94214708.36471859,47107354.18235986,94214708.36472028,94214708.36471926,47107354.182359755
9.5,4985954137.465416,250000000.0,252187192.29482746,0.0,226968473.0653447,2123587237.1886568,25218719.22948277,235954137.46540636,99719082.74930823,997190827.4930812,49859541.37465511,997190827.4930824,99719082.74930823,872541974.0564476,997190827.4930818,99719082.74930842,373946560.3099058,99719082.74930823,49859541.37465471,99719082.74931003,99719082.74930894,49859541.374654606
10.0,5262646228.25809,250000000.0,266920907.92673874,0.0,240228817.1340649,2363816054.3227215,26692090.792673826,262646228.25808018,105252924.56516173,1052529245.6516162,52626462.28258192,1052529245.6516173,105252924.56516173,920963089.9451658,1052529245.6516167,105252924.56516193,394698467.11935645,105252924.56516173,52626462.28258149,105252924.56516363,105252924.56516248,52626462.28258138
