date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl
2023-01-13,-1487769235.3626502,-664517595.0256764,-15887398.523824546,-15942023.683244955,-200770472.50500014,0.0,-863324759.9015218,-3248211485.0019183,-2613161318.3553815,-635050166.6465368
2023-01-20,-1496160645.282294,-445788354.91213906,-14824369.748669554,-15668326.519413453,-200165950.06875014,0.0,-868235957.791249,-3040843604.3225155,-2632037805.792102,-408805798.5304136
2023-01-27,-1536864573.7856343,-299127875.0487213,-12238440.218694767,-17723896.665944003,-198752285.08500013,0.0,-894431113.265601,-2959138184.0695953,-2714480992.4520407,-244657191.61755466
2023-02-03,-1695015563.1970515,-290060805.0772891,-8477119.818545878,-11839225.267918965,-152815275.0000001,0.0,-1019383335.8390118,-3177591324.199817,-3058115964.021936,-119475360.17788124
2023-02-10,-460725610.1968467,-359379785.2446894,-8987228.378656644,-9979806.890483897,39648225.00000001,0.0,-192419209.85076854,-991843415.5614452,-760045933.9652967,-231797481.5961485
2023-02-17,-1587908556.6022322,-296461645.006708,-9814027.67970248,-6748114.085623749,-205948037.79000017,0.0,-936203549.9229404,-3043083931.087207,-2819689795.257929,-223394135.829278
2023-02-24,-1522272463.021389,-429032831.05744594,-9980540.128441386,-6141488.1030216925,-159304350.00000015,0.0,-775792006.6846501,-2902523678.9949484,-2513895272.1097164,-388628406.885232
2023-03-03,-1677209155.0998116,-240133125.18445614,-9223725.609456398,-5230244.587873173,-153931275.00000012,0.0,-1006014042.961455,-3091741568.4430523,-3016559819.2464824,-75181749.19656992
2023-03-10,-432810440.4095508,-374991855.92534655,-7645642.074853344,-2131490.2872976596,39376200.00000004,0.0,-176253754.44237512,-954456983.1394234,-703589002.7174282,-250867980.42199516
2023-03-17,-1115392571.915199,-609891080.5315665,-10110871.790399762,-8184796.240142496,-112962450.00000007,0.0,-641478272.2816603,-2498020042.7589684,-2077268070.8647385,-420751971.8942299
2023-03-24,-1004477992.2404917,-614063686.7814369,-9220533.116679408,-5787937.493889267,-96585150.00000007,0.0,-567627682.6979243,-2297762982.330422,-1720454182.568369,-577308799.762053
2023-03-31,-1593365966.8609464,-490934166.87338376,-7869671.912328337,-7391864.216686534,-181294016.37150007,0.0,-935013973.7985038,-3215869660.033349,-2830178287.7998543,-385691372.23349476
2023-04-07,-832866023.9022465,-423215087.8410777,-6035427.472646255,-6726371.87367862,40603800.00000004,0.0,-464045202.55561864,-1692284313.645268,-1413341288.1831322,-278943025.4621358
2023-04-14,-892806507.2610096,-305126726.679438,-4151560.5780022712,-4824365.241974,37018639.770000026,0.0,-492490759.9601387,-1662381279.9505625,-1513512615.91613,-148868664.0344324
2023-04-21,-906739547.841756,-176783129.95778918,-3194379.9164265622,-4688473.7828814,50661665.509500034,0.0,-493917686.2476256,-1534661552.236979,-1538795151.8579674,4133599.620988369
2023-04-28,-797930398.7846503,-17202773.574379135,-236600.84945266135,-5182358.20579727,58264378.635000035,0.0,-435753410.491334,-1198041163.2706134,-1353024720.7176723,154983557.44705892
2023-05-05,-762766282.2982813,29658911.575429928,2728885.764497033,-6111197.412967582,60380116.96350003,0.0,-401430978.46779996,-1077540543.8756218,-1286426797.3476477,208886253.47202587
2023-05-12,-681607171.1757935,128787198.27478851,3828294.683828056,-10376087.304064248,39397022.35125004,0.0,-352770206.519932,-872740949.689923,-1142384077.7366886,269643128.04676557
2023-05-19,-898273138.353244,280608088.6505609,4734830.208127089,-8466686.610597234,58746993.02100003,0.0,-486677666.04746675,-1049327579.1316198,-1519492775.3628225,470165196.2312027
2023-05-26,-843963407.5445786,8160232.786325307,460118.58468975173,-7159710.984748405,48473734.21050002,0.0,-475088961.4096319,-1269117994.3574438,-1434013104.961008,164895110.60356426
2023-06-02,-1555592288.830649,144779412.60145903,2512456.671329121,-5231175.991928636,-79091856.69600007,0.0,-905034467.928875,-2397657920.1746645,-2749509946.4480853,351852026.2734208
2023-06-09,-241241086.53146833,413094720.7017278,7307065.469512083,-2072810.746706637,20043825.00000002,0.0,-73424674.37145616,123707039.52160878,-381334723.9118242,505041763.433433
2023-06-16,-380783631.79882133,841210465.095008,14458873.480555132,-2831193.302055742,36981450.00000003,0.0,-210121912.94319314,298914050.531493,-627902970.649066,926817021.1805589
2023-06-23,-397628290.627043,459021617.9380801,12902183.916976798,-2468883.946273728,85175961.10350005,0.0,-231292740.05666512,-74290151.67142493,-671664066.8530779,597373915.181653
2023-06-30,-1598808962.2807984,694437687.364774,17488759.827101566,-5248193.282825336,-59871254.58300002,0.0,-942050750.8311903,-1894052713.7859387,-2840901966.3514996,946849252.5655608
2023-07-07,-607629852.2431059,513257640.24989325,14210838.904883081,-8348013.206323594,82806812.84100004,0.0,-351642483.0149126,-357345056.4685657,-1032579165.8462877,675234109.377722
2023-07-14,-655761090.5676302,754479478.9005998,16040765.433393594,-10509758.072031163,92020716.57975005,0.0,-367676108.00867933,-171405995.7345972,-1103954047.4786777,932548051.7440805
2023-07-21,-707163731.4452931,599031616.045845,11158365.715993477,-10558753.372287486,34340250.00000001,0.0,-397094181.7107208,-470286434.7664628,-1200078081.366435,729791646.5999722
2023-07-28,-867952615.4598279,454335672.9682511,8800353.510014601,-9862161.872357676,79228579.99500005,0.0,-475049530.8251081,-810499701.6840279,-1461691530.9776773,651191829.2936494
2023-08-04,-1045524847.8402445,300127888.4553761,6851934.9036679715,-8622341.417237788,9374398.605000036,0.0,-592749311.4840409,-1330542278.7774792,-1789494254.3306284,458951975.5531492
2023-08-11,-587424198.0376298,96584591.88096404,5687711.84381638,-6361475.291647048,34503000.00000003,0.0,-245773186.1616361,-702783555.7661326,-961979393.4956179,259195837.72948527
