date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl
2019-07-19,1198165214.5918293,684209.5175427729,11654574.94198661,-3467144.883176119,23396475.000000026,0.0,0.0,1230433329.1681826,2220169884.2858686,-989736555.117686
2019-07-26,1240917862.592677,41022225.13418703,12106003.832578212,-3679133.1878882325,23626650.00000003,0.0,0.0,1313993608.3715541,2244928977.5693693,-930935369.1978152
2019-08-02,565964290.5199448,-110653779.17322269,10752362.888709879,-4190658.0345992064,-22243275.000000004,0.0,0.0,439628941.20083284,1224779110.3645182,-785150169.1636853
2019-08-09,1366183859.3793967,-129521849.71590367,10001682.10644368,-7247435.448038132,45742050.00000002,0.0,0.0,1285158306.3218985,2480166649.0654097,-1195008342.7435112
2019-08-16,1164360257.1794183,-190791166.8110492,9860852.944285158,-9717754.809266614,40157400.00000002,0.0,0.0,1013869588.5033877,2154855776.7125254,-1140986188.2091377
2019-08-23,1179899405.5957806,-306759679.28505766,11275106.492555335,-8317530.079417164,39994650.00000002,0.0,0.0,916091952.7238612,2184742441.437291,-1268650488.71343
2019-08-30,1177759682.9932811,-250518701.32144597,12220263.784906086,-7727924.488430951,40878150.00000002,0.0,0.0,972611470.9683102,2180166796.2010813,-1207555325.232771
2019-09-06,702335566.5945414,-85087737.93421811,13022009.614695787,-8028222.423359632,-825374.9999999789,0.0,0.0,621416240.8516595,1349190187.9469786,-727773947.095319
2019-09-13,1277601608.504737,-41239799.33980471,12759812.241945898,-8167006.207581919,38190450.00000002,0.0,0.0,1279145065.1992962,2313206606.179055,-1034061540.979759
2019-09-20,1298217713.1903725,-142752529.17260072,12635593.780616371,-8447768.62928775,41673300.00000004,0.0,0.0,1201326309.1691003,2352501522.5000696,-1151175213.3309693
2019-09-27,1289055375.4744487,-188026473.65325776,11862713.228105836,-7380874.58670752,44519100.00000002,0.0,0.0,1150029840.462589,2333741152.7764196,-1183711312.3138306
2019-10-04,602039154.1346236,-137296264.11783585,11043255.037837576,-5864294.897652448,-7811999.999999985,0.0,0.0,462109850.1569729,1257515046.9347935,-795405196.7778206
2019-10-11,1133296384.0125418,120272391.7096769,12837472.141501363,-5207604.026856025,49899150.00000003,0.0,0.0,1311097793.8368642,2092293583.432519,-781195789.5956547
