date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
21701,-402781413.85996425,250261476.5831689,5866752.967595069,-17943712.373424515,-80269452.58549215,-426893329.2321296,0.0,-671759678.5002465,-780799985.6537323,109040307.15348577,0.05440466882242802
21702,-1710752669.6800904,850783020.3207748,21539400.32567238,-39832911.40178701,-143728450.64519414,-783733059.773543,0.0,-1805724670.8541675,-3411164674.3700294,1605440003.515862,0.18495283050451625
21703,-1040980909.8163245,1032292819.7217114,16912342.81535885,-14541472.72779016,41697824.102739744,-542535266.6842177,0.0,-507154662.5885223,-1892992824.567935,1385838161.9794126,0.22441148254819812
21704,-1770215362.8225992,-383848891.74152666,-4593906.89176452,-5649452.65277289,-266379475.91980484,636726305.7882577,0.0,-1793960784.240211,-3588945469.1853204,1794984684.9451094,-0.08344541124815796
21705,-1585265373.2697113,594045359.0305301,2128289.4730682587,-22579450.88118052,-76918264.92764087,-406617685.3181593,0.0,-1495207125.8930936,-3032299316.5364747,1537092190.643381,0.12914029544141958
21706,1781895130.673798,406222628.40894616,12594789.980947588,-601160.8204107445,210792486.1432989,-329686100.32921666,0.0,2081217774.0573633,3285656076.190152,-1204438302.132789,0.08830926704542308
21707,-1153790680.1223896,305656305.2995905,9904871.01309482,-16575642.99303471,-121116374.29846527,-172534853.67034933,0.0,-1148456374.7715535,-2108840021.7698803,960383646.9983268,0.06644702289121533
21708,-1745217467.4664063,682744913.6736809,15651102.17890137,-1354465.2115174318,3085440.0616509374,-732330804.8417364,0.0,-1777421281.605427,-3528176597.6821594,1750755316.0767324,0.14842280732036542
21709,-595677272.8885937,1273739694.7490935,25615803.58531789,150708.27570788842,80554802.76218526,-1274818096.7377224,0.0,-490434360.25401163,-1065059631.2849703,574625271.0309587,0.27689993364110727
21710,-1498823093.047314,604805002.2367868,15194977.378413554,-11853219.220975088,-36574006.45222374,-707309967.4220088,0.0,-1634560306.527321,-2860640526.886973,1226080220.3596518,0.13147934831234498
