shift_bp,par_coupon_bp,spread_bp,callable_mtm,call_value_pts,d_call_value_pts,issuer_pnl,bullet_pnl,call_contribution,bullet_coupon_bp
100,453.6497264392189,28.45972643921911,94.93767050014834,0.37567747550401975,-0.9431162323820956,25311647.499258284,30027228.66116876,-4715581.161910478,425.1899999999998
110,464.3533829934064,29.16338299340619,94.40395987146707,0.33305424919839766,-0.9857394586877177,27980200.64266467,32908897.93610326,-4928697.293438587,435.1900000000002
120,475.055320718817,29.865320718817088,93.86336218081382,0.30157186900751753,-1.0172218388785979,30683189.095930886,35769298.290323876,-5086109.19439299,445.1899999999999
130,485.7555366328266,30.565536632826408,93.32673536787652,0.27033648829072376,-1.0484572195953916,33366323.160617385,38608609.25859434,-5242286.0979769565,455.19000000000017
140,496.45402781484285,31.264027814842805,92.79404579026865,0.23934618130661534,-1.0794475265795,36029771.048656724,41427008.68155423,-5397237.632897504,465.19000000000005
150,507.15079140596725,31.96079140596712,92.26416807975932,0.20969108345671827,-1.109102624429397,38679159.60120343,44224672.723350406,-5545513.122146979,475.1900000000001
160,517.8458246086531,32.655824608652935,91.72569442338691,0.19274410668614905,-1.1260496011999663,41371527.88306544,47001775.88906527,-5630248.005999833,485.1900000000001
170,528.5391246863504,33.34912468635022,91.19117161644726,0.17592388304908013,-1.1428698248370353,44044141.91776368,49758491.041948855,-5714349.124185175,495.19000000000017
180,539.230688963156,34.04068896315608,90.66056637133828,0.15922945245691267,-1.1595642554292027,46697168.14330862,52494989.42045463,-5797821.277146012,505.18999999999994
190,549.9205148234744,34.73051482347437,90.13384571406118,0.14265986280831555,-1.1761338450777998,49330771.429694094,55211440.6550831,-5880669.225389004,515.19
200,560.608599711653,35.41859971165302,89.6109769809642,0.12621416991530054,-1.1925795379708148,51945115.09517902,57908012.78503309,-5962897.689854071,525.19
