date,book,method,var
2019-01-24,irs_recv_5y,Delta-Normal,15599138.161591168
2019-01-24,irs_recv_5y,Monte Carlo,15675171.647689853
2019-01-24,irs_recv_5y,PCA + GARCH,10439915.27231777
2019-01-24,irs_recv_10y,Delta-Normal,126411115.14727063
2019-01-24,irs_recv_10y,Monte Carlo,125197626.2374881
2019-01-24,irs_recv_10y,PCA + GARCH,91554424.23915702
2019-01-24,fwd_recv_2y5y,Delta-Normal,46561738.24308678
2019-01-24,fwd_recv_2y5y,Monte Carlo,45740458.55241596
2019-01-24,fwd_recv_2y5y,PCA + GARCH,31951882.959072225
2019-01-24,fwd_recv_5y5y,Delta-Normal,76287510.39530179
2019-01-24,fwd_recv_5y5y,Monte Carlo,74671671.18585299
2019-01-24,fwd_recv_5y5y,PCA + GARCH,59428468.7480494
2019-01-24,payer_5y,Delta-Normal,132663489.64835489
2019-01-24,payer_5y,Monte Carlo,131948983.31884086
2019-01-24,payer_5y,PCA + GARCH,93195827.79788265
2019-01-24,payer_10y,Delta-Normal,248234543.12762034
2019-01-24,payer_10y,Monte Carlo,247467352.54589483
2019-01-24,payer_10y,PCA + GARCH,175200823.9551881
2019-01-31,unhedged,Delta-Normal,62947917.009550445
2019-01-31,unhedged,Monte Carlo,62526519.53028251
2019-01-31,unhedged,PCA + GARCH,47549316.508326046
2019-01-31,irs_recv_5y,Delta-Normal,15635398.938154643
2019-01-31,irs_recv_5y,Monte Carlo,15631529.479818864
2019-01-31,irs_recv_5y,PCA + GARCH,10167512.05574815
2019-01-31,irs_recv_10y,Delta-Normal,127238445.49036287
2019-01-31,irs_recv_10y,Monte Carlo,126846726.87465063
2019-01-31,irs_recv_10y,PCA + GARCH,97989862.53089747
2019-01-31,fwd_recv_2y5y,Delta-Normal,46813521.82771285
2019-01-31,fwd_recv_2y5y,Monte Carlo,46706227.49980078
2019-01-31,fwd_recv_2y5y,PCA + GARCH,34460166.96906135
2019-01-31,fwd_recv_5y5y,Delta-Normal,76949645.91237848
2019-01-31,fwd_recv_5y5y,Monte Carlo,77121731.50467913
2019-01-31,fwd_recv_5y5y,PCA + GARCH,62374470.41518215
2019-01-31,payer_5y,Delta-Normal,132655099.03664479
2019-01-31,payer_5y,Monte Carlo,131611156.38817093
2019-01-31,payer_5y,PCA + GARCH,100204700.37685482
2019-01-31,payer_10y,Delta-Normal,248977852.66735888
2019-01-31,payer_10y,Monte Carlo,248104638.29897714
2019-01-31,payer_10y,PCA + GARCH,190312867.08834118
2019-02-07,unhedged,Delta-Normal,62969719.2693405
2019-02-07,unhedged,Monte Carlo,62945090.594000444
2019-02-07,unhedged,PCA + GARCH,53348018.73188818
2019-02-07,irs_recv_5y,Delta-Normal,15593522.58048944
2019-02-07,irs_recv_5y,Monte Carlo,15442617.977851199
2019-02-07,irs_recv_5y,PCA + GARCH,9746644.502745608
2019-02-07,irs_recv_10y,Delta-Normal,127315026.7703646
2019-02-07,irs_recv_10y,Monte Carlo,127560788.40407456
2019-02-07,irs_recv_10y,PCA + GARCH,107304052.07091951
2019-02-07,fwd_recv_2y5y,Delta-Normal,46860831.34470414
2019-02-07,fwd_recv_2y5y,Monte Carlo,46548980.67504186
2019-02-07,fwd_recv_2y5y,PCA + GARCH,37038249.68506532
