date,unhedged,irs_recv_5y,irs_recv_10y,fwd_recv_2y5y,fwd_recv_5y5y,payer_5y,payer_10y
2019-10-23,76713000.00000001,-4145897.4629642814,-110234277.89893745,-23818860.436304793,-32621084.33518444,157571897.4629643,263660277.89893746
2019-11-06,29393000.000000004,1303506.814999465,-70963550.08915687,-19891114.45914876,-44668212.32080519,57482493.18500054,129749550.08915687
2019-11-20,3398499.999999996,-4307713.398976628,9104400.016331669,1105756.899529572,16908838.38144171,11104713.39897662,-2307400.016331677
2019-12-04,10003000.000000006,-732281.6257106606,-21029329.461914293,-6136032.098782891,-10839126.888066882,20738281.625710674,41035329.46191431
2019-12-18,29417499.999999996,-5868114.254328195,-54971714.35913491,-24350596.34071887,-21330177.211997036,64703114.25432819,113806714.35913491
2020-01-08,-1221499.9999999972,2911091.2613008646,2384948.8621885804,7323835.367571476,-1580903.396422145,-5354091.261300859,-4827948.862188575
2020-01-22,-11658500.000000004,-2383900.81388003,51149006.56498766,19455478.60448086,43102899.69208062,-20933099.186119977,-74466006.56498766
2020-02-05,-46245500.0,1382695.4738234282,81309044.28800845,19347148.578336596,35924605.81250596,-93873695.47382343,-173800044.28800845
2020-02-19,-43546999.99999999,3127630.399164267,96648745.68826008,29995311.140078075,52505570.332955725,-90221630.39916426,-183742745.68826008
2020-03-04,-84332500.00000001,300653.0536073297,125907196.11415456,10115940.639812097,44624481.87151836,-168965653.05360734,-294572196.1141546
2020-03-18,192664500.0,-23624098.038885415,-309013691.23739743,-117552230.94530225,-102406635.66263783,408953098.0388854,694342691.2373974
2020-04-01,-62643000.0,14635478.8139534,168617745.33731556,98086741.50436664,96435322.93418515,-139921478.8139534,-293903745.33731556
2020-04-20,14403199.999999994,3783330.66016894,22310148.229378693,26798396.23100578,33406034.16117906,25023069.339831047,6496251.770621294
2020-05-05,-67715200.0,10014264.674977839,92659735.79621649,23349001.209539533,17718035.298291683,-145444664.67497784,-228090135.7962165
2020-05-19,34174000.00000001,-8539416.725028448,-10876264.298785917,5442227.175613292,31214020.950259216,76887416.72502846,79224264.29878592
2020-06-02,629999.9999999967,1729164.1684976784,-45788556.830693245,-25638843.980693582,-47920098.75499582,-469164.1684976849,47048556.830693245
2020-06-16,-18486999.999999996,1028184.5069635548,22139863.28446174,8270235.082995299,3403724.710626129,-38002184.50696355,-59113863.28446174
2020-06-30,-40106500.0,-1026730.5558127165,44225361.42462587,-2398497.380358577,6384547.953458309,-79186269.44418728,-124438361.42462587
2020-07-14,3839499.9999999925,-2714489.9444950894,10702221.40688657,4898789.336634748,17445698.414024822,10393489.944495074,-3023221.406886585
2020-07-28,-34524000.00000001,-201179.58515841514,54423177.16136026,11014494.384647958,21629826.659424298,-68846820.41484159,-123471177.16136026
2020-08-11,8911000.000000006,-1778853.0283467118,-45978267.57127427,-21604469.85749101,-36365983.69156741,19600853.028346725,63800267.57127429
2020-08-25,3405499.9999999977,2055280.2392696715,-36098518.736667395,-12605804.203223111,-35462938.07834172,4755719.760730324,42909518.736667395
2020-09-08,-32136999.999999996,5515427.060230974,36411794.76285887,9637674.772896651,-75543.41981005296,-69789427.06023097,-100685794.76285887
2020-09-22,-7703500.000000004,-1464746.9477313794,6015783.992486712,-4567240.917938236,-76618.74914837256,-13942253.052268628,-21422783.99248672
2020-10-06,4126500.000000006,-1607709.6734191119,-12382692.389928335,-6816616.4466174785,-6999903.235115284,9860709.673419124,20635692.38992835
2020-10-20,-26407500.000000007,1084266.2198679373,44791551.64804482,12524741.364531629,18568824.031507008,-53899266.21986795,-97606551.64804482
2020-11-03,-3444000.000000002,4752652.752635358,-19170936.373723507,-8109289.335559847,-27726511.385274887,-11640652.752635362,12282936.373723505
2020-11-17,14297500.000000002,-2133012.0771869402,-17793516.43025112,-3395829.9513349514,-1902924.7425062638,30728012.077186942,46388516.43025112
2020-12-01,5099499.999999993,-2616982.073456414,-4566733.515931375,-1899802.8467630222,2987878.6230809614,12815982.0734564,14765733.51593136
2020-12-15,-33120500.0,2163789.8735039234,65529620.32033229,14799540.056423426,31973086.179267406,-68404789.87350392,-131770620.32033229
2021-01-06,18182500.000000004,-2082954.6956171952,-45144387.27342248,-13455754.810669776,-26019696.056879994,38447954.6956172,81509387.27342248
2021-01-20,13029100.000000002,188954.09493792243,-30968396.4739151,-10645467.433866976,-18960486.526654482,25869245.90506208,57026596.4739151
2021-02-03,26660899.999999996,2004499.5690066777,-87492562.60722566,-28100778.928750876,-64960412.0671792,51317300.43099332,140814362.60722566
2021-02-17,38374000.0,6476879.95090425,-119681382.5063777,-31437731.730758905,-90626076.10489821,70271120.04909575,196429382.5063777
